id задачи|Дата создания|Платформа|Способ связи|Кол-во откликов|Кол-во матчей
193654|2022-07-31T03:05:08.324347|admins|через телефон|5|0
193653|2022-07-31T03:04:12.274186|admins|через телефон|1|0
193652|2022-07-31T02:58:14.483868|admins|через телефон|0|0
193651|2022-07-31T02:57:37.218426|admins|через телефон|2|0
193650|2022-07-31T02:56:22.406992|admins|через телефон|3|0
193649|2022-07-31T02:56:04.842403|admins|через телефон|3|0
193648|2022-07-31T02:53:22.076720|admins|через телефон|0|0
193647|2022-07-31T02:52:57.998812|admins|через телефон|5|0
193646|2022-07-31T02:52:05.925236|admins|через телефон|5|0
193645|2022-07-31T02:50:35.014467|admins|через телефон|2|0
193644|2022-07-31T02:49:25.851536|admins|через телефон|1|0
193643|2022-07-31T02:49:23.757437|admins|через телефон|5|0
193642|2022-07-31T02:34:04.556448|admins|через телефон|5|0
193641|2022-07-31T02:33:46.696682|admins|через телефон|3|0
193640|2022-07-31T02:30:01.739880|admins|через телефон|0|0
193639|2022-07-31T02:29:44.960052|admins|через телефон|4|0
193638|2022-07-31T02:27:00.657520|admins|через телефон|0|0
193637|2022-07-31T02:24:53.136885|admins|через телефон|5|0
193636|2022-07-31T02:24:13.538344|admins|через телефон|2|0
193635|2022-07-31T02:23:42.195149|admins|через телефон|1|0
193634|2022-07-31T02:21:29.770170|admins|через телефон|1|0
193633|2022-07-31T02:21:09.518372|admins|через телефон|0|0
193632|2022-07-31T02:18:59.560267|admins|через телефон|0|0
193631|2022-07-31T02:18:36.278063|admins|через телефон|0|0
193630|2022-07-31T02:16:43.009280|admins|через телефон|2|0
193629|2022-07-31T02:15:30.970984|admins|через телефон|1|0
193628|2022-07-31T02:14:28.533412|admins|через телефон|1|0
193627|2022-07-31T02:13:01.874938|admins|через телефон|1|0
193626|2022-07-31T02:12:12.434891|admins|через телефон|4|0
193625|2022-07-31T02:09:54.569928|admins|через телефон|1|0
193624|2022-07-31T02:09:30.636050|admins|через телефон|0|0
193623|2022-07-31T02:08:26.030989|admins|через телефон|0|0
193622|2022-07-31T02:06:27.473324|admins|через телефон|5|0
193621|2022-07-31T02:04:27.863192|admins|через телефон|1|0
193620|2022-07-31T02:03:20.571133|admins|через телефон|2|0
193619|2022-07-31T02:02:36.775389|admins|через телефон|0|0
193618|2022-07-31T02:01:32.168577|admins|через телефон|2|0
193617|2022-07-31T01:57:37.306611|admins|через телефон|1|0
193616|2022-07-31T01:54:53.120365|admins|через телефон|1|0
193615|2022-07-31T01:52:20.833531|admins|через телефон|2|0
193614|2022-07-31T01:49:13.488630|admins|через телефон|1|0
193613|2022-07-31T01:46:20.728181|admins|через телефон|4|0
193612|2022-07-31T01:43:41.457467|admins|через телефон|1|0
193611|2022-07-31T01:41:57.836759|admins|через телефон|5|0
193610|2022-07-31T01:41:35.127709|admins|через телефон|3|0
193609|2022-07-31T01:39:20.451541|admins|через телефон|0|0
193608|2022-07-31T01:39:11.776294|admins|через телефон|2|0
193607|2022-07-31T01:38:43.678328|admins|через телефон|5|0
193606|2022-07-31T01:38:14.025974|admins|через телефон|1|0
193605|2022-07-31T01:37:39.552285|admins|через телефон|0|0
193604|2022-07-31T01:35:07.782208|admins|через телефон|2|0
193603|2022-07-31T01:33:19.199334|admins|через телефон|2|0
193602|2022-07-31T01:29:37.434503|admins|через телефон|5|0
193601|2022-07-31T01:27:21.095461|admins|через телефон|2|0
193600|2022-07-31T01:21:19.100167|admins|через телефон|5|0
193599|2022-07-31T01:15:12.181145|admins|через телефон|0|0
193598|2022-07-31T01:07:01.681809|admins|через телефон|3|0
193597|2022-07-31T01:06:14.007233|admins|через телефон|1|0
193596|2022-07-31T01:04:21.159092|admins|через телефон|2|0
193595|2022-07-31T01:04:10.789918|ios|через приложение|0|0
193594|2022-07-31T00:59:16.557820|admins|через телефон|1|0
193593|2022-07-31T00:55:22.374300|admins|через телефон|0|0
193592|2022-07-31T00:52:01.334466|admins|через телефон|2|0
193591|2022-07-31T00:48:28.923375|admins|через телефон|0|0
